Name;Location;Diameter;Age;Latitude;Longitude;URL
Araguainha;Brazil;40 km;244.40 ± 3.25 million;-16.7833;-52.9833;https://en.wikipedia.org/wiki/Araguainha_crater
Campo del Cielo;Argentina;0.05 km;< 4000;-27.6333;-61.7000;https://en.wikipedia.org/wiki/Campo_del_Cielo_crater
Carancas;Peru;0.0135 km;10;-16.6667;-69.0500;https://en.wikipedia.org/wiki/2007_Carancas_impact_event
Colônia;Brazil;3.6 km;>5 million, <36 million;-23.8667;-46.7000;https://en.wikipedia.org/wiki/Col%C3%B4nia_crater
Monturaqui;Chile;0.46 km;< 1 million;-23.9333;-68.2667;https://en.wikipedia.org/wiki/Monturaqui_crater
Riachão Ring;Brazil;4.5 km;< 200 million;-7.7167;-46.6500;https://en.wikipedia.org/wiki/Riach%C3%A3o_Ring
Rio Cuarto;Argentina;4.5 km (largest of 10);< 100,000;-32.8833;-64.2333;https://en.wikipedia.org/wiki/Rio_Cuarto_craters
Santa Marta;Brazil;10 km;66 million - 100 million;-10.1667;-45.2500;https://en.wikipedia.org/wiki/Santa_Marta_crater
Serra da Cangalha;Brazil;12 km;< 300 million;-8.0833;-46.8667;https://en.wikipedia.org/wiki/Serra_da_Cangalha
Vargeão Dome;Brazil;12 km;< 70 million;-26.8333;-52.1167;https://en.wikipedia.org/wiki/Varge%C3%A3o_Dome
Vista Alegre;Brazil;9.5 km;< 65 million;-25.9500;-52.6833;https://en.wikipedia.org/wiki/Vista_Alegre_crater
Bowers;Antarctica;100 km;unknown;-71.2000;176.0000;
